Region-Dzongkhag,Urban-Male,Urban - Female,Urban - Both Sex,Rural - Male,Rural - Female,Rural - Both Sex,Both Areas - Male ,Both Areas - Female,Both Areas- Both Sex
Bumthang,3570,3066,6636,5826,5358,11184,9396,8424,17820
Chhukha,18981,16540,35521,17060,16385,33445,36041,32925,68966
Dagana,2450,2263,4713,10506,9746,20252,12956,12009,24965
Gasa,795,571,1366,1309,1277,2586,2104,1848,3952
Haa,1680,1418,3098,5755,4802,10557,7435,6220,13655
Lhuentse,1283,992,2275,6124,6038,12162,7407,7030,14437
Monggar,5417,4880,10297,12830,14023,26853,18247,18903,37150
Paro,6058,5855,11913,17883,16520,34403,23941,22375,46316
Pema Gatshel,4079,3546,7625,7843,8164,16007,11922,11710,23632
Punakha,3846,3200,7046,11233,10461,21694,15079,13661,28740
Samdrup Jongkhar,6518,5656,12174,11811,11094,22905,18329,16750,35079
Samtse,4803,4871,9674,27219,25697,52916,32022,30568,62590
Sarpang,6798,6212,13010,17220,15774,32994,24018,21986,46004
Thimphu,59453,56064,115517,13069,10150,23219,72522,66214,138736
Trashigang,5379,4729,10108,18035,17375,35410,23414,22104,45518
Trashi Yangtse,1887,1660,3547,6832,6921,13753,8719,8581,17300
Trongsa,1899,1647,3546,9979,6435,16414,11878,8082,19960
Tsirang,1885,1625,3510,9641,9225,18866,11526,10850,22376
Wangdue Phodrang,5217,4663,9880,19085,13221,32306,24302,17884,42186
Zhemgang,1857,1654,3511,7338,6914,14252,9195,8568,17763
Total,143855,131112,274967,236598,215580,452178,380453,346692,727145
"Note: Excludes 8,408 tourists/non-Bhutanese found in hotels on the census day",,,,,,,,,
"Source: Population & Housing Census of Bhutan, NSB, 2017",,,,,,,,,