Age Group,Urban - Male ,Urban - Female,Urban - Both Sex,Rural - Male,Rural - Female,Rural - Both Sex,Both Areas - Male,Both Areas - Female,Both Areas - Both Sex ,Sex Ratio - Urban ,Sex Ratio - Rural,Sex Ratio - Both Areas 
0 - 4,11071,10409,21480,18105,17889,35994,29176,28298,57474,106.359880872322,101.207445916485,103.102692769807
5 - 9,11436,11143,22579,20599,19813,40412,32035,30956,62991,102.629453468545,103.967092313128,103.485592453805
10 - 14,12136,12163,24299,22520,22133,44653,34656,34296,68952,99.7780152922799,101.748520309041,101.049685094472
15 - 19,15073,15328,30401,19606,18279,37885,34679,33607,68286,98.3363778705637,107.259696919963,103.189811646383
20 - 24,19006,16766,35772,22069,17574,39643,41075,34340,75415,113.360372181796,125.577557755776,119.612696563774
25 - 29,18829,16898,35727,23973,19580,43553,42802,36478,79280,111.427387856551,122.436159346272,117.336476780525
30 - 34,14792,13070,27862,20267,17051,37318,35059,30121,65180,113.175210405509,118.861063867222,116.393878025298
35 - 39,12114,10436,22550,17575,15424,32999,29689,25860,55549,116.078957454964,113.945798755187,114.806651198763
40 - 44,8434,6486,14920,13840,12735,26575,22274,19221,41495,130.033919210607,108.676874754613,115.883668903803
45 - 49,6848,5132,11980,12017,11536,23553,18865,16668,35533,133.437256430242,104.169556171983,113.180945524358
50 - 54,4731,3629,8360,10725,10232,20957,15456,13861,29317,130.366492146597,104.81821735731,111.507106269389
55 - 59,2902,2600,5502,9477,8919,18396,12379,11519,23898,111.615384615385,106.256306760848,107.46592586162
60 - 64,2160,2173,4333,8338,8040,16378,10498,10213,20711,99.4017487344685,103.706467661692,102.790561049643
65 - 69,1483,1519,3002,6102,5550,11652,7585,7069,14654,97.6300197498354,109.945945945946,107.299476587919
70 - 74,1072,1332,2404,4804,4260,9064,5876,5592,11468,80.4804804804805,112.769953051643,105.078683834049
75 - 79,803,914,1717,3162,2992,6154,3965,3906,7871,87.855579868709,105.681818181818,101.510496671787
80 - 84,544,630,1174,2107,2116,4223,2651,2746,5397,86.3492063492064,99.5746691871456,96.5404224326293
85,421,484,905,1312,1457,2769,1733,1941,3674,86.9834710743802,90.0480439258751,89.2838742916023
All Ages,143855,131112,274967,236598,215580,452178,380453,346692,727145,109.719171395448,109.749512941831,109.738038374119
"Note: Excludes 8,408 tourists/non-Bhutanese found in hotels on the census day",,,,,,,,,,,,
"Source: Population & Housing Census of Bhutan, NSB, 2017",,,,,,,,,,,,