Region - Dzongkhag/Thromde,Population by Broad Age Groups: 0 - 14,Population by Broad Age Groups: 15 - 64,Population by Broad Age Groups: 65+,Total,Child Dependency Ratio,Old Age Dependency Ratio,Total Dependency Ratio,Ageing Index 
Bumthang,4930,11657,1233,17820,42.292184953247,10.5773355065626,52.8695204598096,25.0101419878296
Chhukha,17078,48963,2925,68966,34.879398729653,5.97389865817046,40.8532973878235,17.1272982784869
*Sub Category* Phuentsholing Thromde,5767,21186,705,27658,27.2208061927688,3.32766921551968,30.5484754082885,12.2247268943992
*Sub Category* Other than Phuentsholing Thromde,11311,27777,2220,41308,40.7207401807251,7.9922237822659,48.712963962991,19.6269118557157
Dagana,7024,16277,1664,24965,43.1529151563556,10.2230140689316,53.3759292252872,23.6902050113895
Gasa,1086,2636,230,3952,41.1987860394537,8.72534142640364,49.9241274658574,21.1786372007366
Haa,3582,9298,775,13655,38.5244138524414,8.33512583351258,46.859539685954,21.6359575656058
Lhuentse,4263,9006,1168,14437,47.3351099267155,12.9691316899845,60.3042416167,27.3985456251466
Monggar,11399,23108,2643,37150,49.3292366280076,11.4375973688766,60.7668339968842,23.1862444074042
Paro,11406,32161,2749,46316,35.4653151332359,8.54761978794192,44.0129349211778,24.101350166579
Pema Gatshel,6512,14812,2308,23632,43.9643532271132,15.5819605725088,59.5463137996219,35.4422604422604
Punakha,7364,19547,1829,28740,37.6733002506779,9.35693456796439,47.0302348186422,24.8370450841934
Samdrup Jongkhar,9810,23105,2164,35079,42.4583423501407,9.3659381086345,51.8242804587751,22.059123343527
*Sub Category* Samdrup Jongkhar Thromde,2489,6561,275,9325,37.9362901996647,4.1914342325865,42.1277244322512,11.0486139011651
*Sub Category* Other than Samdrup Jongkhar Thromde,7321,16544,1889,25754,44.2516924564797,11.4180367504836,55.6697292069632,25.8024859991804
Samtse,16884,41665,4041,62590,40.5232209288372,9.69878795151806,50.2220088803552,23.9339019189765
Sarpang,11215,32177,2612,46004,34.8540883239581,8.11759952761289,42.971687851571,23.2902362906821
*Sub Category* Gelephu Thromde,2149,7332,377,9858,29.3098745226405,5.14184397163121,34.4517184942717,17.5430432759423
*Sub Category* Other than Gelephu Thromde,9066,24845,2235,36146,36.4902394848058,8.99577379754478,45.4860132823506,24.6525479814692
Thimphu,32861,100559,5316,138736,32.6783281456657,5.28644875147923,37.964776897145,16.1772313684915
*Sub Category* Thimphu Thromde,27237,83224,4090,114551,32.7273382678074,4.91444775545516,37.6417860232625,15.0163380695378
*Sub Category* Other than Thimphu Thromde,5624,17335,1226,24185,32.4430343236227,7.07239688491491,39.5154312085376,21.7994310099573
Trashigang,12596,29560,3362,45518,42.6116373477672,11.3734776725304,53.9851150202977,26.6910130200063
Trashi Yangtse,5582,10498,1220,17300,53.1720327681463,11.6212611926081,64.7932939607544,21.8559656037263
Trongsa,4124,14735,1101,19960,27.9877841873091,7.47200542925009,35.4597896165592,26.6973811833172
Tsirang,5874,14733,1769,22376,39.8696803095093,12.0070589832349,51.8767392927442,30.1157643854273
Wangdue Phodrang,10689,29113,2384,42186,36.7155566241885,8.18878164393913,44.9043382681276,22.3033024604734
Zhemgang,5138,11054,1571,17763,46.4809118870997,14.2120499366745,60.6929618237742,30.5760996496691
Total,189417,494664,43064,727145,38.2920527873466,8.70570730839519,46.9977600957418,22.7350237835041
"Note: Excludes 8,408 tourists/non-Bhutanese found in hotels on the census day",,,,,,,,
"Source: Population & Housing Census of Bhutan, NSB, 2017",,,,,,,,