Region- Dzongkhag ,Area (km2),Population-2005,Population-2017,Density (Population per km2) - 2005,Density (Population per km2) - 2017
Bumthang,2717,16116,17820.0,5.93154214206846,6.5587044534413
Chhukha,1880,74387,68966.0,39.5675531914894,36.6840425531915
Dagana,1723,18222,24965.0,10.5757399883923,14.4892629135229
Gasa,3118,3116,3952.0,0.999358563181527,1.2674791533034
Haa,1905,11648,13655.0,6.11443569553806,7.16797900262467
Lhuentse,1944,15395,14437.0,7.91923868312757,7.42644032921811
Monggar,2859,37069,37150.0,12.9657222805177,12.9940538649878
Paro,1293,36433,46316.0,28.1771075019335,35.8205723124517
Pema Gatshel,1030,13864,23632.0,13.4601941747573,22.9436893203883
Punakha,1110,17715,28740.0,15.9594594594595,25.8918918918919
Samdrup Jongkhar,1878,39961,35079.0,21.2784877529286,18.6789137380192
Samtse,1305,60100,62590.0,46.0536398467433,47.9616858237548
Sarpang,1946,41549,46004.0,21.3509763617677,23.6402877697842
Thimphu,2067,98676,138736.0,47.7387518142235,67.1194968553459
Trashigang,3066,51134,45518.0,16.6777560339204,14.8460534898891
Trashi Yangtse,1438,17740,17300.0,12.336578581363,12.0305980528512
Trongsa,1807,13419,19960.0,7.42612064194798,11.0459324847814
Tsirang,639,18667,22376.0,29.2128325508607,35.0172143974961
Wangdue Phodrang,4308,31135,42186.0,7.22725162488394,9.7924791086351
Zhemgang,2421,18636,17763.0,7.69764560099133,7.33705080545229
Total,40454,634982,727145.0,16.5385737354795,18.9390269312913
"Note: Excludes 8,408 tourists/non-Bhutanese found in hotels on the census day",,,,,
"Source: Population & Housing Census of Bhutan, NSB,2017",,,,,