Region - Dzongkhag,Urban,Rural,Both Areas
Bumthang,21.781,21.6405,21.695
Chhukha,21.8501,21.0084,21.4285
Dagana,21.3372,20.3129,20.4563
Gasa,21.3254,21.387,21.3709
Haa,21.9089,21.7835,21.8094
Lhuentse,21.3871,20.3733,20.4942
Monggar,21.6847,20.2796,20.5963
Paro,22.3992,21.9226,22.0451
Pema Gatshel,21.259,20.9756,21.0714
Punakha,21.6847,21.3145,21.3945
Samdrup Jongkhar,21.4599,20.5633,20.8894
Samtse,21.4366,21.1536,21.2005
Sarpang,21.4894,20.725,20.9359
Thimphu,22.4125,21.6395,22.2924
Trashigang,21.6342,20.5059,20.6989
Trashi Yangtse,21.5736,20.989,21.1008
Trongsa,21.4769,21.3413,21.372
Tsirang,21.7519,20.9907,21.0962
Wangdue Phodrang,21.5417,21.1835,21.2833
Zhemgang,21.6102,20.3854,20.6357
Total,21.9958,20.9874,21.3659
"Source: Population & Housing Census of Bhutan, 2017",,,